,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2,Source
360,1100,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/164416521.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,36.66666666666666,seloger
361,1100,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/vivienne-gaillon/164000345.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,44.0,seloger
362,1173,2,29.0,"https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/163996749.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,40.44827586206897,seloger
363,1150,1,26.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-merri/162369607.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,44.230769230769226,seloger
364,1090,2,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/arts-et-metiers/157032617.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,43.6,seloger
365,1096,1,33.21,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/163469231.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,33.00210779885577,seloger
366,1175,1,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/164359943.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,48.95833333333334,seloger
367,985,1,29.02,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/sainte-avoie/162562093.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,33.9421088904204,seloger
368,920,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/ile-saint-louis/163833401.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,51.111111111111114,seloger
369,1150,1,22.0,"https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/sainte-avoie/164138323.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,52.27272727272727,seloger
370,770,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/sentier-bonne-nouvelle/161827021.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,64.16666666666667,seloger
371,1050,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/163979385.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,52.5,seloger
372,830,1,16.0,"https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/sentier-bonne-nouvelle/164436569.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,51.875,seloger
373,1200,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-merri/164110399.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,60.0,seloger
374,1100,1,14.94,"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/vendome/164269715.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,73.62784471218207,seloger
375,950,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/saint-gervais/160988691.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,47.5,seloger
376,1095,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/arsenal/161018789.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,39.107142857142854,seloger
377,855,1,19.01,"https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-germain-des-pres/161019753.htm?projects=1&types=2,1&natures=1&places=[{ci:750101}|{ci:750102}|{ci:750103}|{ci:750104}|{ci:750105}|{ci:750106}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisCentre,44.976328248290365,seloger
