,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
71,1186,2,34.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/163572221.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,34.88235294117647
72,770,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/saint-philippe-du-roule/163594221.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,42.77777777777778
73,1200,2,25.09,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164018811.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,47.82781984854524
74,1185,1,16.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/164109617.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,74.0625
75,1050,1,21.55,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164270135.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,48.72389791183294
76,990,1,16.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/164343265.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,61.875
77,612,1,14.93,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/164424361.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.99129269926323
78,872,3,65.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164447999.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,13.415384615384616
79,735,1,18.65,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/163828807.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,39.41018766756032
80,1070,1,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/163883909.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,34.516129032258064
