,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
48,1022,1,31.16,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bois-de-vincennes/163748975.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.798459563543005
49,869,1,22.08,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/163752625.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,39.356884057971016
50,1000,1,31.26,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/georges-brassens/163918543.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,31.98976327575176
51,1150,2,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/164001909.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.333333333333336
52,670,1,18.31,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/olympiades-choisy/164013893.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,36.59202621518296
53,582,1,14.44,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/montsouris-dareau/164014361.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,40.30470914127424
54,1080,2,37.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/164022991.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,29.18918918918919
55,767,1,23.49,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/pernety/164023505.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.652192422307365
56,1200,2,38.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/164050721.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,31.57894736842105
57,1200,1,34.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/164196969.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,35.294117647058826
58,850,1,25.29,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/mouton-duvernet/164357439.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.610122578094106
59,1115,1,37.45,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/164354967.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,29.773030707610143
60,830,1,14.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/montsouris-dareau/164363199.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,59.285714285714285
61,920,1,22.45,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/salpetriere-austerlitz/164390409.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,40.97995545657016
62,980,1,30.34,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bel-air-nord/161777315.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.30059327620303
63,1195,2,45.0,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/vallee-de-fecamp/162983927.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,26.555555555555557
64,898,2,29.72,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/163339117.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,30.215343203230148
65,880,1,19.72,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/163339139.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,44.624746450304265
