,index,Price,N_rooms,Surface_m2,Link,District,Zone,Price_per_m2
219,415,835,2,29,https://www.pap.fr/annonces/appartement-paris-18e-r434400471,18,ParisNord,28.79310344827586
220,416,980,1,26,https://www.pap.fr/annonces/appartement-paris-18e-r427800133,18,ParisNord,37.69230769230769
221,417,790,1,19,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434101161,18,ParisNord,41.578947368421055
222,418,1100,1,28,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434302012,18,ParisNord,39.285714285714285
223,419,725,1,24,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434402213,18,ParisNord,30.208333333333332
224,420,1100,1,27,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434402294,18,ParisNord,40.74074074074074
225,421,610,1,13,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434500048,18,ParisNord,46.92307692307692
226,422,1180,2,35,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434202417,18,ParisNord,33.714285714285715
227,423,950,1,28,https://www.pap.fr/annonces/appartement-paris-18e-r405101183,18,ParisNord,33.92857142857143
228,424,1200,2,39,https://www.pap.fr/annonces/appartement-paris-18e-r421001221,18,ParisNord,30.76923076923077
229,425,1080,2,30,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401532,18,ParisNord,36.0
230,426,1295,1,32,https://www.pap.fr/annonces/appartement-paris-17e-r405001112,17,ParisNord,40.46875
231,427,980,1,20,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434402133,18,ParisNord,49.0
232,428,1200,2,36,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434402144,18,ParisNord,33.333333333333336
233,429,810,1,25,https://www.pap.fr/annonces/appartement-paris-18e-r408300765,18,ParisNord,32.4
234,430,950,1,20,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434201442,18,ParisNord,47.5
235,431,1150,2,33,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401055,18,ParisNord,34.84848484848485
236,432,780,1,19,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401151,18,ParisNord,41.05263157894737
237,433,640,1,19,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401155,18,ParisNord,33.68421052631579
238,434,950,2,28,https://www.pap.fr/annonces/appartement-paris-18e-75018-r434401173,18,ParisNord,33.92857142857143
239,435,1180,2,39,https://www.pap.fr/annonces/appartement-paris-18e-r425601577,18,ParisNord,30.256410256410255
240,436,1060,2,27,https://www.pap.fr/annonces/appartement-paris-18e-r427200069,18,ParisNord,39.25925925925926
241,437,800,1,14,https://www.pap.fr/annonces/appartement-paris-18e-75018-r433400768,18,ParisNord,57.142857142857146
